Anonymized_sample_name	purity
Sample_1	0.5210746814060512
Sample_2	0.5936744615823693
Sample_3	0.5427646288579288
Sample_4	0.5716097222048833
Sample_5	0.5982732707282997
Sample_6	0.354647819188393
Sample_7	0.5639523705933676
Sample_8	0.4709953947339088
Sample_9	0.5160901816630368
Sample_10	0.5294304307932456
Sample_11	0.6255254440693874
Sample_12	0.5383057760951003
Sample_13	0.6378842178473698
Sample_14	0.5165836967853055
Sample_15	0.4582210792577854
Sample_16	0.5247302699139946
Sample_17	0.6618362451434517
Sample_18	0.553405998845337
Sample_19	0.5990297284682763
Sample_20	0.5352782094358124
Sample_21	0.5603459438033449
Sample_22	0.4994165682404614
Sample_23	0.494690634503859
Sample_24	0.5993070680802786
Sample_25	0.4564742558935852
Sample_26	0.6486485245364086
Sample_27	0.6159435996820632
Sample_28	0.6949689439793971
Sample_29	0.4747033062850895
Sample_30	0.5776750938978257
Sample_31	0.4408790062390984
Sample_32	0.5432648704035256
Sample_33	0.429555187970725
Sample_34	0.494866951773487
Sample_35	0.5424842029635699
Sample_36	0.5296680196143769
Sample_37	0.3728743757170204
Sample_38	0.4339724422596386
Sample_39	0.3807066355875093
Sample_40	0.6346686015080935
Sample_41	0.6434220208336885
Sample_42	0.4852843564900181
Sample_43	0.4724182823619972
Sample_44	0.5957911705637995
Sample_45	0.5440504748554715
Sample_46	0.4628886712733879
Sample_47	0.3145109499762797
Sample_48	0.6704040747785992
Sample_49	0.6058286279129129
Sample_50	0.4542323662570747
Sample_51	0.6373941868932406
Sample_52	0.5024231773170691
Sample_53	0.4939255042093
Sample_54	0.459355553066715
Sample_55	0.4901474974982635
Sample_56	0.7027923665616298
Sample_57	0.5709507846566879
Sample_58	0.6312675044031097
Sample_59	0.5261308597556191
Sample_60	0.6686988999958505
Sample_61	0.706298870126553
Sample_62	0.6228789694676443
Sample_63	0.6821324626584099
Sample_64	0.5725199913664244
Sample_65	0.5721669216413618
Sample_66	0.6517521240194671
Sample_67	0.5941465127345098
Sample_68	0.644184037580566
