Anonymized_sample_name	purity
Sample_1	0.5868149455755205
Sample_2	0.6608057618725919
Sample_3	0.5815028398538824
Sample_4	0.6289354457051226
Sample_5	0.6597414043183487
Sample_6	0.4107242942419913
Sample_7	0.6246000052416723
Sample_8	0.5272821217642076
Sample_9	0.559594175288185
Sample_10	0.5970934459935293
Sample_11	0.6070874167209657
Sample_12	0.7138385988450462
Sample_13	0.5913243482656426
Sample_14	0.7738156715329496
Sample_15	0.5673151003759176
Sample_16	0.4719834488802344
Sample_17	0.5224161277152164
Sample_18	0.6021629778677873
Sample_19	0.7264572884840423
Sample_20	0.6336268714848683
Sample_21	0.6514801965657446
Sample_22	0.6128927467895247
Sample_23	0.5739930058745697
Sample_24	0.6268520922144081
Sample_25	0.6225906167681203
Sample_26	0.6907112897166823
Sample_27	0.5554261732938743
Sample_28	0.7169291507593405
Sample_29	0.6902171258604106
Sample_30	0.7430761070779164
Sample_31	0.5673054965381139
Sample_32	0.646860939741057
Sample_33	0.5185296831516777
Sample_34	0.6206468160563108
Sample_35	0.521638119439878
Sample_36	0.5060196617589816
Sample_37	0.6340231673840236
Sample_38	0.6065542959368742
Sample_39	0.4501932975997575
Sample_40	0.4871594618931115
Sample_41	0.4662945020225242
Sample_42	0.7032062932732964
Sample_43	0.7155612735818414
Sample_44	0.5546198974282954
Sample_45	0.5547834935585125
Sample_46	0.6985628278250783
Sample_47	0.6086995363496392
Sample_48	0.5212000982565923
Sample_49	0.4051207872543908
Sample_50	0.7493298886239256
Sample_51	0.7046397775640242
Sample_52	0.5043458991023286
Sample_53	0.7532485175783387
Sample_54	0.5614601810547897
Sample_55	0.5619849065161309
Sample_56	0.4685640234554594
Sample_57	0.5690998159527241
Sample_58	0.7096246005097862
Sample_59	0.6681074331971548
Sample_60	0.6792167791147103
Sample_61	0.5743236333747477
Sample_62	0.7439954935748119
Sample_63	0.7500984722996302
Sample_64	0.6678382463383624
Sample_65	0.7762125504734148
Sample_66	0.59372562862499
Sample_67	0.6238952158816579
Sample_68	0.697311646387277
Sample_69	0.6582009378815847
Sample_70	0.6769635396763537
