#NUM_CLUSTERS	BEST_OBJ	ELBOW_OR_SILHOUETTE_SCORE	SELECTED	
5	13155196.669538638	0.059997435723474254	True
6	13155162.935976626	1.5240688546215386e-06	False
7	13155149.251875225	1.9948186921818895e-07	False
8	13155138.192001821	NaN	False
