"","iteration","result"
"1","1","17.89545268952"
"1","2","-61.4421859426966"
"1","3","-83.0851867077201"
"1","4","-69.8290438838628"
"1","5","-0.184047340456573"
"1","6","-67.799002270544"
"1","7","26.3495302702686"
"1","8","12.2703463902519"
"1","9","-41.8004240192124"
"1","10","-105.212900575832"
"1","11","-116.194572426678"
"1","12","6.73701737216766"
"1","13","-132.054354222971"
"1","14","-106.095107730784"
"1","15","-96.1903869174505"
"1","16","21.6304015909982"
"1","17","-97.0581164383561"
"1","18","-7.35525349557497"
"1","19","-93.4825041459371"
"1","20","-129.954715993925"
"1","21","13.1923743725283"
"1","22","37.4909223017567"
"1","23","-137.207445135411"
"1","24","10.8256869824449"
"1","25","-129.092556103778"
"1","26","58.8941242263106"
"1","27","-30.732383550135"
"1","28","-4.65743637463447"
"1","29","-110.290472497816"
"1","30","-20.7732500833044"
"1","31","-27.2156255872351"
"1","32","-47.8866823159365"
"1","33","20.7977177923215"
"1","34","78.5182111185713"
"1","35","-81.0122724406094"
"1","36","27.1225938967136"
"1","37","-142.823570797439"
"1","38","-13.2263226117957"
"1","39","-93.2842320777868"
"1","40","7.2044045766429"
"1","41","-56.968264227238"
"1","42","-86.2193106114989"
"1","43","-58.5410766064308"
"1","44","32.3584652999477"
"1","45","-95.7240218334298"
"1","46","43.9457170579872"
"1","47","4.69868455062851"
"1","48","-51.6402921052443"
"1","49","24.5208420126835"
"1","50","-149.396781569501"
"1","51","1.76114765561692"
"1","52","-44.6486664419547"
"1","53","-141.416615972718"
"1","54","-119.811543183456"
"1","55","-96.5283008130871"
"1","56","20.8106259500621"
"1","57","43.0052238139915"
"1","58","-103.365985293728"
"1","59","-34.3427828210438"
"1","60","-103.879501209566"
"1","61","26.3714791386094"
"1","62","-59.1907758005395"
"1","63","-70.1428766433758"
"1","64","-41.269571398791"
"1","65","-49.5595070460677"
"1","66","-145.795213235775"
"1","67","-44.0566686185934"
"1","68","-56.6628701066652"
"1","69","-57.3207864899096"
"1","70","-3.37655710758781"
"1","71","16.2726739865968"
"1","72","-47.5933530849181"
"1","73","22.9283146632497"
"1","74","-77.9854091041882"
"1","75","-129.866523966841"
"1","76","-27.6639827621739"
"1","77","-64.0664382949317"
"1","78","-51.3186761826566"
"1","79","-24.0837706855352"
"1","80","-19.1289958059856"
"1","81","-168.666790938082"
"1","82","-20.8206178058551"
"1","83","14.3459183655095"
"1","84","-38.111631568908"
"1","85","-20.276018636582"
"1","86","-82.0015611308995"
"1","87","-108.593828165974"
"1","88","-50.8921596209286"
"1","89","-8.33993155150938"
"1","90","-92.9926031807022"
"1","91","-64.1475446712343"
"1","92","-18.7080056074917"
"1","93","-93.1707117323101"
"1","94","-49.5603628872768"
"1","95","-61.6934707170428"
"1","96","-17.5560911079051"
"1","97","-24.4558856373219"
"1","98","-148.777708997717"
"1","99","-160.777342247328"
"1","100","-56.1233824644994"
