"","iteration","result"
"1",1,19.1077693171131
"2",2,56.9871378043337
"3",3,37.2284922685237
"4",4,-0.562837829810974
"5",5,26.1630460379135
"6",6,-21.6986329209295
"7",7,38.5031699517995
"8",8,22.9676147656445
"9",9,-13.5792716319825
"10",10,50.4732634457899
"11",11,8.26562556581564
"12",12,59.1279369560771
"13",13,0.192318180359962
"14",14,63.4162310770837
"15",15,15.9416992179804
"16",16,66.3759366386076
"17",17,55.8059577732671
"18",18,23.8400740307812
"19",19,15.9134683617103
"20",20,72.5008605484394
"21",21,40.2609504814615
"22",22,22.1615646258504
"23",23,20.6333563495039
"24",24,32.6707228215266
"25",25,52.1547206920783
"26",26,60.1246569674878
"27",27,77.0601657393595
"28",28,1.62266167787038
"29",29,29.0137931034483
"30",30,33.4458090542357
"31",31,-0.777017555897487
"32",32,-6.6213336824444
"33",33,11.7935606375854
"34",34,64.2531241814371
"35",35,-0.781267337166241
"36",36,-16.5819951007933
"37",37,16.7846387776294
"38",38,61.5709389513737
"39",39,49.1960981444189
"40",40,51.6857517482517
"41",41,37.4158880613857
"42",42,32.7835498353627
"43",43,18.6556049297553
"44",44,11.5271044691493
"45",45,40.675333759428
"46",46,78.2116755793227
"47",47,44.4868394496956
"48",48,14.3114665220927
"49",49,2.27692393093491
"50",50,50.7135038286883
"51",51,8.71178724600998
"52",52,-4.12905792749416
"53",53,33.6294947732979
"54",54,11.8262285105535
"55",55,36.1001164144354
"56",56,-9.75561958127184
"57",57,25.7109497485391
"58",58,65.1979450551669
"59",59,0.278909779344531
"60",60,48.5990324342923
"61",61,14.7749394274194
"62",62,29.5181206737279
"63",63,39.4152339323297
"64",64,6.20844704187834
"65",65,53.040429376233
"66",66,33.4285191475785
"67",67,38.692804445287
"68",68,52.2977423103147
"69",69,43.8950521688604
"70",70,-23.5747797531649
"71",71,59.8612928044805
"72",72,2.18120806690399
"73",73,37.7268342006455
"74",74,-10.638472548594
"75",75,29.1417797670265
"76",76,2.09862556164614
"77",77,8.75006638767695
"78",78,63.7167014105098
"79",79,31.6340126519748
"80",80,-18.8351477590783
"81",81,14.0670468794187
"82",82,12.6241843580553
"83",83,48.5776542858489
"84",84,6.02065726740148
"85",85,15.1315370216806
"86",86,9.65912666911913
"87",87,74.4491755511215
"88",88,34.5510450304809
"89",89,88.3146208717623
"90",90,78.1502029129464
"91",91,-3.38842961972011
"92",92,16.4320726034315
"93",93,16.5470380173988
"94",94,81.4675550177639
"95",95,4.33806329773381
"96",96,22.9366511082004
"97",97,83.7408142951222
"98",98,-20.637584706321
"99",99,1.85027274677452
"100",100,30.5057178229566
