"","iteration","result"
"1",1,-7.27488004952795
"2",2,21.363462458154
"3",3,-3.51408681408682
"4",4,2.54192359364774
"5",5,-6.97375801282053
"6",6,-5.83284210526315
"7",7,10.1613475177305
"8",8,5.39118680724522
"9",9,-4.90981432360743
"10",10,26.1754377018528
"11",11,6.92745155321842
"12",12,9.82848394747089
"13",13,-4.21932702824424
"14",14,16.4544640396803
"15",15,-0.14256854256854
"16",16,-9.89241192411922
"17",17,-10.8814035087719
"18",18,25.9850125944585
"19",19,20.5213657001426
"20",20,21.6967058562555
"21",21,-3.68064633260713
"22",22,14.1959627329192
"23",23,11.7536846355744
"24",24,15.7801139446555
"25",25,12.2015247410817
"26",26,1.7692732350458
"27",27,10.0484110484111
"28",28,4.18942599691343
"29",29,-12.4556043182786
"30",30,-6.39000867813928
"31",31,4.55800656147477
"32",32,-18.9570350404313
"33",33,-4.60232558139535
"34",34,7.42478354978357
"35",35,9.53958670260559
"36",36,13.1935505385667
"37",37,2.7287511737089
"38",38,2.17597402597403
"39",39,20.9732530697404
"40",40,-38.2518115942029
"41",41,-26.4814029253063
"42",42,-27.4072806116627
"43",43,-18.8212310205294
"44",44,30.9251983932595
"45",45,11.2894157189708
"46",46,1.27012838505121
"47",47,13.6654378909741
"48",48,-2.50565367722643
"49",49,2.30700051984059
"50",50,-22.2359164242264
"51",51,5.98466280451575
"52",52,26.7102576335878
"53",53,-14.6233299075026
"54",54,-11.160035814388
"55",55,6.08683441741854
"56",56,27.1867490375145
"57",57,-4.38068002773051
"58",58,19.8591406182726
"59",59,9.82241897761443
"60",60,28.160355601845
"61",61,11.0163563829787
"62",62,28.7507968865827
"63",63,-0.40189491817398
"64",64,9.79082978291743
"65",65,33.6721490231713
"66",66,2.46959459459461
"67",67,-7.73505325009182
"68",68,-7.44701786254922
"69",69,13.9845395286646
"70",70,23.0026412829089
"71",71,-14.8745238501336
"72",72,16.4923746211751
"73",73,-13.2626389918458
"74",74,16.0965448301437
"75",75,1.32263904254251
"76",76,-2.51685393258427
"77",77,28.5627943485086
"78",78,-3.72908516670853
"79",79,1.34773695000789
"80",80,-4.25733496332518
"81",81,12.4938888096257
"82",82,-13.6197002361154
"83",83,0.113624417740567
"84",84,-11.4118179186568
"85",85,13.4449816926823
"86",86,-16.9096107670921
"87",87,1.50705772150263
"88",88,-2.08456486042695
"89",89,17.718051766094
"90",90,39.0041075292478
"91",91,-12.2088514056225
"92",92,1.05170423260688
"93",93,26.899112654321
"94",94,-9.60099952228714
"95",95,6.4317617866005
"96",96,-4.95415454858181
"97",97,6.49276538678714
"98",98,9.23513417851856
"99",99,9.3698752228164
"100",100,-10.6878531073446
