"","count","binding_clonal"
"1",2327,1320
"2",2345,1385
"3",2302,1271
"4",2314,1344
"5",2282,1311
"6",2276,1319
"7",2320,1340
"8",2306,1313
"9",2315,1356
"10",2295,1331
"11",2375,1401
"12",2286,1306
"13",2289,1321
"14",2258,1299
"15",2297,1307
"16",2356,1367
"17",2382,1365
"18",2298,1302
"19",2216,1260
"20",2302,1364
"21",2289,1302
"22",2207,1233
"23",2303,1329
"24",2282,1284
"25",2318,1364
"26",2283,1368
"27",2329,1336
"28",2325,1350
"29",2330,1397
"30",2341,1349
"31",2298,1340
"32",2331,1287
"33",2323,1334
"34",2292,1326
"35",2317,1329
"36",2354,1402
"37",2336,1384
"38",2316,1332
"39",2340,1362
"40",2327,1324
"41",2286,1343
"42",2295,1355
"43",2336,1342
"44",2346,1385
"45",2316,1328
"46",2258,1231
"47",2317,1331
"48",2311,1378
"49",2294,1338
"50",2335,1333
"51",2383,1351
"52",2304,1328
"53",2327,1341
"54",2350,1347
"55",2297,1312
"56",2297,1278
"57",2383,1371
"58",2282,1334
"59",2289,1327
"60",2343,1359
"61",2255,1287
"62",2365,1317
"63",2343,1347
"64",2336,1316
"65",2302,1310
"66",2265,1283
"67",2328,1349
"68",2322,1389
"69",2324,1284
"70",2281,1305
"71",2268,1296
"72",2327,1363
"73",2365,1394
"74",2361,1415
"75",2292,1301
"76",2332,1349
"77",2310,1364
"78",2305,1346
"79",2241,1268
"80",2339,1320
"81",2309,1310
"82",2313,1355
"83",2273,1283
"84",2332,1397
"85",2260,1323
"86",2365,1339
"87",2334,1362
"88",2275,1326
"89",2283,1321
"90",2314,1336
"91",2298,1318
"92",2334,1345
"93",2356,1382
"94",2344,1379
"95",2367,1392
"96",2297,1293
"97",2299,1303
"98",2323,1344
"99",2327,1355
"100",2277,1337
