"","count","binding_clonal"
"1",1217,649
"2",1204,655
"3",1236,643
"4",1202,622
"5",1205,656
"6",1177,593
"7",1192,639
"8",1186,613
"9",1170,624
"10",1193,582
"11",1186,612
"12",1179,586
"13",1170,577
"14",1205,650
"15",1192,628
"16",1187,593
"17",1178,621
"18",1210,605
"19",1174,621
"20",1236,643
"21",1231,651
"22",1215,645
"23",1168,612
"24",1225,633
"25",1212,657
"26",1203,612
"27",1221,622
"28",1211,630
"29",1189,622
"30",1186,647
"31",1220,631
"32",1198,611
"33",1245,677
"34",1225,616
"35",1216,608
"36",1187,615
"37",1202,598
"38",1232,647
"39",1188,641
"40",1219,646
"41",1221,660
"42",1189,603
"43",1219,634
"44",1208,625
"45",1205,617
"46",1216,634
"47",1187,599
"48",1187,643
"49",1220,655
"50",1212,637
"51",1210,631
"52",1220,635
"53",1197,622
"54",1214,636
"55",1164,593
"56",1213,634
"57",1227,647
"58",1177,625
"59",1248,662
"60",1212,632
"61",1218,603
"62",1205,625
"63",1208,631
"64",1194,657
"65",1197,639
"66",1225,657
"67",1210,636
"68",1222,632
"69",1189,621
"70",1209,627
"71",1229,633
"72",1204,641
"73",1186,636
"74",1230,654
"75",1232,687
"76",1177,651
"77",1178,611
"78",1203,673
"79",1213,609
"80",1199,600
"81",1210,622
"82",1263,666
"83",1230,659
"84",1197,646
"85",1219,655
"86",1185,628
"87",1210,639
"88",1228,658
"89",1199,647
"90",1184,669
"91",1171,641
"92",1227,641
"93",1181,637
"94",1181,643
"95",1174,642
"96",1255,635
"97",1182,607
"98",1222,657
"99",1258,687
"100",1201,624
