"","count","binding_clonal"
"1",6313,3329
"2",6225,3356
"3",6342,3388
"4",6240,3350
"5",6275,3335
"6",6244,3309
"7",6227,3307
"8",6283,3341
"9",6313,3374
"10",6234,3242
"11",6223,3358
"12",6312,3367
"13",6308,3300
"14",6145,3240
"15",6346,3292
"16",6377,3447
"17",6213,3331
"18",6251,3374
"19",6207,3371
"20",6292,3376
"21",6408,3531
"22",6311,3404
"23",6307,3345
"24",6258,3310
"25",6197,3288
"26",6368,3353
"27",6248,3385
"28",6247,3248
"29",6352,3292
"30",6244,3265
"31",6301,3346
"32",6206,3271
"33",6250,3327
"34",6229,3366
"35",6273,3411
"36",6214,3335
"37",6268,3358
"38",6353,3443
"39",6240,3308
"40",6363,3357
"41",6385,3459
"42",6218,3255
"43",6234,3331
"44",6286,3347
"45",6246,3267
"46",6244,3303
"47",6311,3424
"48",6191,3256
"49",6301,3332
"50",6294,3332
"51",6287,3311
"52",6293,3287
"53",6341,3337
"54",6318,3369
"55",6256,3373
"56",6351,3293
"57",6273,3342
"58",6267,3385
"59",6263,3421
"60",6139,3248
"61",6334,3325
"62",6377,3402
"63",6253,3259
"64",6280,3231
"65",6239,3354
"66",6221,3280
"67",6183,3231
"68",6323,3311
"69",6337,3361
"70",6344,3330
"71",6293,3310
"72",6357,3349
"73",6358,3378
"74",6158,3193
"75",6248,3314
"76",6334,3414
"77",6273,3307
"78",6349,3355
"79",6386,3412
"80",6228,3329
"81",6214,3309
"82",6291,3426
"83",6353,3375
"84",6324,3392
"85",6366,3281
"86",6214,3324
"87",6275,3382
"88",6250,3315
"89",6272,3331
"90",6228,3254
"91",6229,3319
"92",6253,3342
"93",6339,3375
"94",6327,3348
"95",6178,3232
"96",6301,3395
"97",6228,3361
"98",6175,3245
"99",6346,3342
"100",6324,3477
