"","count","binding_clonal"
"1",986,490
"2",944,420
"3",986,467
"4",981,410
"5",989,464
"6",977,433
"7",988,475
"8",1002,482
"9",1024,531
"10",983,476
"11",1014,461
"12",997,467
"13",1007,458
"14",1021,478
"15",974,470
"16",974,430
"17",955,455
"18",1021,491
"19",1047,528
"20",1022,506
"21",983,485
"22",995,469
"23",952,453
"24",1009,472
"25",971,453
"26",1007,440
"27",1017,476
"28",979,435
"29",999,485
"30",966,459
"31",927,427
"32",1000,479
"33",1013,490
"34",978,465
"35",1001,462
"36",984,452
"37",994,472
"38",983,488
"39",947,449
"40",919,387
"41",980,465
"42",1009,483
"43",981,427
"44",996,458
"45",1019,480
"46",1002,488
"47",989,452
"48",982,448
"49",1024,487
"50",971,464
"51",1029,493
"52",990,461
"53",962,451
"54",982,495
"55",1004,482
"56",996,485
"57",941,458
"58",946,454
"59",968,454
"60",974,443
"61",989,452
"62",977,467
"63",986,473
"64",983,462
"65",989,443
"66",1027,499
"67",992,437
"68",947,453
"69",989,478
"70",999,446
"71",988,482
"72",957,449
"73",1009,462
"74",958,479
"75",959,468
"76",992,464
"77",979,477
"78",974,487
"79",993,456
"80",984,494
"81",996,446
"82",979,462
"83",996,469
"84",970,463
"85",977,476
"86",985,500
"87",1032,504
"88",975,445
"89",967,479
"90",1055,480
"91",964,462
"92",1007,469
"93",983,458
"94",978,449
"95",950,443
"96",1019,448
"97",951,437
"98",977,472
"99",964,432
"100",980,478
