"","count","binding_clonal"
"1",989,538
"2",975,577
"3",961,540
"4",977,580
"5",995,572
"6",1001,576
"7",1006,565
"8",1027,549
"9",987,553
"10",977,572
"11",973,553
"12",1006,548
"13",938,487
"14",986,547
"15",953,537
"16",945,536
"17",976,551
"18",962,540
"19",967,526
"20",944,514
"21",998,594
"22",1006,563
"23",977,555
"24",966,570
"25",973,604
"26",967,552
"27",952,516
"28",957,560
"29",968,544
"30",963,583
"31",943,539
"32",984,566
"33",983,538
"34",976,552
"35",957,520
"36",967,536
"37",971,569
"38",1009,572
"39",954,509
"40",987,548
"41",955,555
"42",959,558
"43",951,538
"44",973,571
"45",974,543
"46",994,563
"47",969,579
"48",962,545
"49",990,554
"50",998,562
"51",948,542
"52",993,587
"53",992,556
"54",987,599
"55",965,559
"56",967,537
"57",962,560
"58",971,566
"59",1016,598
"60",943,518
"61",978,545
"62",971,549
"63",954,546
"64",945,532
"65",984,544
"66",978,546
"67",944,523
"68",981,536
"69",967,546
"70",993,560
"71",993,569
"72",949,519
"73",992,555
"74",1016,589
"75",954,526
"76",987,542
"77",958,519
"78",976,556
"79",992,579
"80",965,559
"81",982,546
"82",955,523
"83",965,555
"84",995,579
"85",970,546
"86",955,548
"87",961,554
"88",977,580
"89",965,542
"90",952,537
"91",939,512
"92",999,577
"93",944,543
"94",965,555
"95",1012,545
"96",1007,575
"97",974,586
"98",960,539
"99",1006,583
"100",990,562
