"","count","binding_clonal"
"1",222,133
"2",222,131
"3",234,134
"4",207,114
"5",241,146
"6",236,139
"7",229,117
"8",216,116
"9",224,121
"10",235,130
"11",230,128
"12",230,108
"13",232,130
"14",218,129
"15",232,123
"16",225,119
"17",216,114
"18",230,110
"19",223,126
"20",209,109
"21",231,124
"22",227,120
"23",227,130
"24",208,119
"25",207,121
"26",212,122
"27",234,140
"28",210,108
"29",239,128
"30",220,131
"31",230,131
"32",216,129
"33",226,137
"34",238,131
"35",224,139
"36",223,141
"37",211,116
"38",245,136
"39",233,122
"40",234,117
"41",219,126
"42",212,126
"43",223,106
"44",223,117
"45",204,110
"46",220,107
"47",231,127
"48",237,131
"49",225,130
"50",215,128
"51",226,143
"52",224,123
"53",228,131
"54",231,133
"55",224,125
"56",201,119
"57",221,132
"58",232,132
"59",242,144
"60",226,128
"61",234,140
"62",228,128
"63",209,114
"64",228,129
"65",228,127
"66",220,131
"67",225,120
"68",226,132
"69",222,130
"70",209,115
"71",223,109
"72",251,150
"73",241,149
"74",228,130
"75",227,132
"76",231,131
"77",212,121
"78",230,130
"79",220,130
"80",242,132
"81",234,136
"82",229,125
"83",225,120
"84",235,110
"85",213,130
"86",213,125
"87",207,111
"88",243,127
"89",230,112
"90",217,116
"91",202,115
"92",240,134
"93",229,135
"94",224,118
"95",225,128
"96",233,132
"97",215,112
"98",236,135
"99",230,154
"100",205,116
