"","count","binding_clonal"
"1",5080,2263
"2",5264,2345
"3",5089,2213
"4",5121,2206
"5",5137,2335
"6",5212,2335
"7",5098,2209
"8",5112,2245
"9",5103,2233
"10",5125,2317
"11",5115,2256
"12",5114,2281
"13",5205,2290
"14",5090,2316
"15",5102,2274
"16",5183,2266
"17",5164,2264
"18",5143,2225
"19",5158,2238
"20",5096,2206
"21",5099,2275
"22",5123,2363
"23",5158,2288
"24",5160,2277
"25",5098,2274
"26",5093,2242
"27",5073,2240
"28",5103,2237
"29",5127,2337
"30",5076,2227
"31",5141,2283
"32",5131,2286
"33",5147,2315
"34",5205,2269
"35",5086,2275
"36",5155,2278
"37",5041,2226
"38",5087,2138
"39",5128,2234
"40",5129,2349
"41",5105,2280
"42",5188,2253
"43",5067,2268
"44",5100,2219
"45",5095,2266
"46",5077,2314
"47",5159,2189
"48",5065,2228
"49",5039,2238
"50",5172,2257
"51",5090,2195
"52",5122,2208
"53",5106,2215
"54",5025,2186
"55",5135,2226
"56",5090,2256
"57",5138,2253
"58",5046,2268
"59",5040,2212
"60",5065,2241
"61",5114,2241
"62",5048,2194
"63",5086,2255
"64",5146,2295
"65",5138,2268
"66",5154,2248
"67",5088,2267
"68",5163,2316
"69",5057,2210
"70",5143,2249
"71",5058,2214
"72",5267,2391
"73",5085,2177
"74",5090,2142
"75",5131,2244
"76",5159,2327
"77",5149,2295
"78",5205,2190
"79",5082,2251
"80",5126,2162
"81",5056,2210
"82",5130,2324
"83",5093,2253
"84",5115,2286
"85",5217,2321
"86",5157,2316
"87",5039,2143
"88",5093,2346
"89",5143,2279
"90",5012,2153
"91",5047,2200
"92",5131,2301
"93",5132,2240
"94",5044,2238
"95",5171,2289
"96",5144,2245
"97",5017,2224
"98",5107,2254
"99",5166,2306
"100",5176,2236
