"","count","binding_clonal"
"1",1853,797
"2",1863,854
"3",1815,818
"4",1856,860
"5",1920,925
"6",1817,854
"7",1898,899
"8",1854,860
"9",1858,863
"10",1867,869
"11",1874,902
"12",1888,871
"13",1798,807
"14",1920,884
"15",1844,833
"16",1823,863
"17",1852,840
"18",1846,863
"19",1837,859
"20",1876,872
"21",1849,830
"22",1875,830
"23",1877,872
"24",1867,843
"25",1864,860
"26",1851,904
"27",1878,827
"28",1883,830
"29",1881,835
"30",1815,852
"31",1874,862
"32",1833,823
"33",1809,851
"34",1842,907
"35",1832,861
"36",1860,841
"37",1859,888
"38",1803,795
"39",1879,862
"40",1870,887
"41",1829,823
"42",1903,856
"43",1846,837
"44",1856,872
"45",1834,821
"46",1768,836
"47",1948,888
"48",1848,860
"49",1824,877
"50",1838,812
"51",1804,814
"52",1894,906
"53",1849,815
"54",1853,880
"55",1873,860
"56",1805,821
"57",1783,794
"58",1846,837
"59",1822,818
"60",1830,845
"61",1810,805
"62",1868,882
"63",1863,841
"64",1878,899
"65",1848,851
"66",1898,853
"67",1916,856
"68",1854,849
"69",1898,875
"70",1850,837
"71",1811,812
"72",1884,824
"73",1814,801
"74",1845,870
"75",1822,823
"76",1841,906
"77",1874,855
"78",1929,858
"79",1827,862
"80",1809,805
"81",1888,857
"82",1847,875
"83",1884,845
"84",1888,859
"85",1874,879
"86",1873,833
"87",1914,922
"88",1888,886
"89",1898,866
"90",1843,869
"91",1881,858
"92",1864,867
"93",1836,836
"94",1852,851
"95",1834,808
"96",1866,832
"97",1795,787
"98",1897,923
"99",1898,867
"100",1832,829
