"","count","binding_clonal"
"1",1485,797
"2",1462,806
"3",1493,789
"4",1454,763
"5",1474,811
"6",1413,746
"7",1543,824
"8",1493,816
"9",1468,782
"10",1471,763
"11",1466,727
"12",1461,732
"13",1432,761
"14",1553,833
"15",1475,793
"16",1417,776
"17",1461,788
"18",1500,764
"19",1478,782
"20",1484,798
"21",1436,771
"22",1441,754
"23",1466,783
"24",1484,793
"25",1472,779
"26",1454,752
"27",1458,825
"28",1480,813
"29",1476,744
"30",1514,792
"31",1528,798
"32",1501,803
"33",1494,777
"34",1440,769
"35",1463,792
"36",1468,780
"37",1484,758
"38",1456,779
"39",1403,735
"40",1458,767
"41",1523,773
"42",1425,751
"43",1454,773
"44",1478,778
"45",1467,789
"46",1536,813
"47",1490,775
"48",1464,808
"49",1471,819
"50",1492,778
"51",1465,754
"52",1468,767
"53",1428,786
"54",1465,800
"55",1457,775
"56",1496,794
"57",1491,797
"58",1499,790
"59",1523,810
"60",1452,798
"61",1502,820
"62",1475,780
"63",1520,765
"64",1491,819
"65",1480,832
"66",1490,801
"67",1506,800
"68",1511,826
"69",1484,808
"70",1490,788
"71",1483,815
"72",1493,791
"73",1448,779
"74",1460,809
"75",1465,759
"76",1525,815
"77",1487,815
"78",1495,743
"79",1441,766
"80",1477,835
"81",1460,764
"82",1425,786
"83",1444,761
"84",1504,813
"85",1468,750
"86",1477,829
"87",1443,793
"88",1450,776
"89",1427,761
"90",1476,773
"91",1453,764
"92",1385,745
"93",1440,800
"94",1472,771
"95",1478,767
"96",1511,790
"97",1444,790
"98",1460,758
"99",1412,773
"100",1549,814
