"","count","binding_clonal"
"1",1372,564
"2",1323,563
"3",1278,535
"4",1328,524
"5",1288,532
"6",1312,508
"7",1325,522
"8",1293,509
"9",1297,510
"10",1301,548
"11",1330,549
"12",1332,555
"13",1318,529
"14",1322,509
"15",1324,555
"16",1324,549
"17",1297,515
"18",1348,529
"19",1326,565
"20",1228,515
"21",1348,548
"22",1342,519
"23",1336,559
"24",1338,520
"25",1335,533
"26",1321,555
"27",1380,586
"28",1276,501
"29",1293,527
"30",1294,540
"31",1357,566
"32",1333,577
"33",1310,536
"34",1324,542
"35",1337,515
"36",1285,531
"37",1324,520
"38",1330,542
"39",1317,516
"40",1316,590
"41",1418,584
"42",1373,594
"43",1273,526
"44",1345,556
"45",1325,568
"46",1304,540
"47",1310,540
"48",1308,525
"49",1290,558
"50",1295,531
"51",1302,543
"52",1305,527
"53",1315,514
"54",1289,518
"55",1325,534
"56",1324,487
"57",1303,523
"58",1289,542
"59",1269,472
"60",1318,494
"61",1316,546
"62",1333,552
"63",1344,530
"64",1296,515
"65",1307,524
"66",1332,569
"67",1279,491
"68",1339,530
"69",1319,513
"70",1359,550
"71",1336,540
"72",1253,530
"73",1300,510
"74",1333,553
"75",1340,562
"76",1360,521
"77",1324,585
"78",1330,544
"79",1281,525
"80",1315,560
"81",1337,511
"82",1270,534
"83",1327,545
"84",1309,524
"85",1309,514
"86",1329,554
"87",1343,555
"88",1298,525
"89",1350,560
"90",1341,549
"91",1294,507
"92",1304,496
"93",1310,524
"94",1337,558
"95",1311,551
"96",1317,546
"97",1333,515
"98",1333,553
"99",1330,522
"100",1325,516
