"","count","binding_clonal"
"1",3003,1383
"2",2995,1494
"3",3013,1423
"4",3035,1521
"5",3038,1499
"6",2928,1414
"7",3015,1472
"8",2965,1420
"9",3033,1475
"10",2955,1407
"11",2968,1448
"12",3039,1463
"13",2997,1457
"14",3028,1482
"15",3012,1486
"16",3013,1436
"17",2992,1536
"18",3064,1465
"19",3032,1475
"20",3041,1436
"21",2983,1392
"22",2993,1466
"23",2990,1472
"24",2964,1463
"25",2992,1443
"26",2972,1447
"27",2980,1494
"28",2996,1402
"29",3041,1453
"30",3027,1460
"31",2975,1445
"32",3012,1475
"33",3003,1456
"34",2958,1390
"35",3050,1476
"36",3002,1503
"37",3018,1483
"38",3005,1450
"39",3013,1438
"40",2973,1429
"41",3019,1522
"42",2934,1469
"43",3078,1522
"44",3005,1442
"45",2966,1446
"46",3032,1495
"47",2962,1402
"48",2948,1469
"49",2971,1431
"50",3005,1475
"51",2939,1397
"52",2988,1450
"53",3061,1517
"54",2945,1411
"55",3009,1478
"56",2964,1453
"57",2933,1388
"58",2940,1401
"59",2988,1496
"60",3027,1442
"61",2959,1435
"62",2962,1440
"63",2943,1396
"64",2982,1451
"65",3029,1465
"66",3005,1468
"67",3022,1436
"68",2929,1368
"69",3017,1482
"70",3004,1445
"71",3014,1486
"72",3016,1531
"73",3048,1490
"74",2929,1456
"75",3030,1523
"76",3018,1431
"77",2926,1445
"78",2987,1485
"79",3008,1480
"80",2989,1475
"81",3035,1490
"82",2984,1448
"83",2970,1420
"84",3019,1472
"85",3027,1437
"86",3020,1439
"87",2936,1420
"88",3042,1518
"89",2977,1470
"90",2906,1401
"91",2998,1430
"92",3032,1455
"93",3012,1493
"94",2953,1432
"95",2992,1444
"96",3003,1493
"97",3038,1521
"98",3100,1535
"99",2947,1389
"100",2950,1376
