"","count","binding_clonal"
"1",339,183
"2",356,203
"3",350,218
"4",349,196
"5",353,190
"6",342,189
"7",343,206
"8",335,198
"9",359,195
"10",369,213
"11",349,199
"12",351,201
"13",361,227
"14",344,218
"15",328,189
"16",346,196
"17",389,231
"18",368,204
"19",354,220
"20",342,204
"21",342,212
"22",339,210
"23",356,212
"24",359,206
"25",341,195
"26",331,211
"27",364,220
"28",346,209
"29",330,195
"30",352,222
"31",338,208
"32",356,237
"33",382,199
"34",386,250
"35",337,196
"36",330,192
"37",352,228
"38",366,229
"39",353,207
"40",349,210
"41",340,189
"42",339,203
"43",358,194
"44",358,212
"45",360,229
"46",355,213
"47",360,194
"48",334,184
"49",354,209
"50",375,225
"51",340,191
"52",354,206
"53",356,217
"54",334,204
"55",324,186
"56",353,204
"57",324,180
"58",337,190
"59",358,195
"60",344,188
"61",346,218
"62",339,202
"63",340,209
"64",365,210
"65",373,211
"66",338,197
"67",356,211
"68",344,190
"69",366,228
"70",356,207
"71",379,216
"72",374,242
"73",352,202
"74",338,200
"75",348,185
"76",368,226
"77",324,179
"78",360,208
"79",361,203
"80",352,183
"81",346,196
"82",360,201
"83",341,200
"84",368,204
"85",340,204
"86",341,193
"87",332,187
"88",339,208
"89",354,204
"90",360,201
"91",376,232
"92",350,202
"93",346,209
"94",355,209
"95",337,182
"96",357,221
"97",352,205
"98",346,202
"99",351,192
"100",353,223
