"","count","binding_clonal"
"1",575,137
"2",561,115
"3",596,154
"4",609,142
"5",538,134
"6",549,132
"7",582,133
"8",584,127
"9",560,132
"10",579,137
"11",532,127
"12",570,147
"13",582,148
"14",586,144
"15",559,138
"16",571,113
"17",572,136
"18",539,120
"19",553,129
"20",573,132
"21",566,137
"22",570,133
"23",594,133
"24",580,142
"25",582,150
"26",554,140
"27",579,137
"28",591,145
"29",593,136
"30",523,105
"31",578,133
"32",604,134
"33",559,121
"34",554,129
"35",589,137
"36",545,140
"37",557,121
"38",562,122
"39",567,115
"40",518,120
"41",552,112
"42",548,137
"43",527,145
"44",567,149
"45",584,144
"46",562,138
"47",550,136
"48",564,117
"49",576,126
"50",551,115
"51",567,124
"52",592,124
"53",601,152
"54",581,142
"55",598,145
"56",590,129
"57",562,128
"58",553,133
"59",557,121
"60",588,123
"61",551,151
"62",556,128
"63",597,152
"64",540,115
"65",594,138
"66",566,135
"67",586,151
"68",591,130
"69",558,120
"70",559,142
"71",577,129
"72",564,132
"73",577,127
"74",579,141
"75",570,129
"76",568,141
"77",601,132
"78",553,127
"79",595,141
"80",593,132
"81",562,124
"82",559,129
"83",553,133
"84",570,121
"85",555,125
"86",543,117
"87",558,115
"88",553,127
"89",571,139
"90",551,145
"91",545,129
"92",573,121
"93",569,146
"94",548,140
"95",537,112
"96",582,126
"97",562,142
"98",563,144
"99",532,140
"100",582,127
