Anonymized_sample_name,purity
Sample_1,0.6539381648370838
Sample_2,0.7179292709138205
Sample_3,0.4749739898574295
Sample_4,0.5816039547127452
Sample_5,0.6485955481087288
Sample_6,0.6700433476513842
Sample_7,0.6368068962708451
Sample_8,0.6258387155489766
Sample_9,0.6060075259683017
Sample_10,0.7065349834034724
Sample_11,0.6025916058558527
Sample_12,0.5769776321617488
Sample_13,0.6615725819301373
Sample_14,0.6475050407549876
Sample_15,0.5159799959569125
Sample_16,0.5533634762077169
Sample_17,0.5405966030666757
Sample_18,0.7346886989935594
Sample_19,0.7245735520549969
Sample_20,0.6135615253034203
Sample_21,0.5992924122996995
Sample_22,0.6817987052433873
Sample_23,0.4882196143487752
Sample_24,0.6625480292370503
Sample_25,0.5875916199393078
Sample_26,0.6278221626405465
Sample_27,0.6570170108395047
Sample_28,0.6462721852058815
Sample_29,0.7293455840814231
Sample_30,0.5830370806790758
Sample_31,0.7207862392897757
Sample_32,0.6418869399230637
Sample_33,0.7437711182976767
Sample_34,0.7440648240178129
Sample_35,0.7760009330384537
Sample_36,0.6544629109822708
Sample_37,0.6839937317930764
Sample_38,0.6884866708842275
Sample_39,0.653485840259714
Sample_40,0.5629205054359941
Sample_41,0.7717167038883851
Sample_42,0.7135465304757651
Sample_43,0.7642812486392347
Sample_44,0.5870890448031031
Sample_45,0.5959035471949188
Sample_46,0.6586236570404657
Sample_47,0.7676937894096272
Sample_48,0.6452781557663234
Sample_49,0.6364864987750751
Sample_50,0.5554497734497817
Sample_51,0.7069734679672542
Sample_52,0.6392419910604917
Sample_53,0.670141335807799
