"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",3,1863,2,541
"2",7,1852,2,554
"3",7,1843,0,540
"4",6,1874,2,548
"5",8,1835,2,547
"6",6,1845,2,524
"7",9,1842,2,563
"8",1,1804,1,522
"9",4,1845,0,544
"10",6,1831,2,514
"11",3,1884,1,543
"12",8,1851,3,552
"13",2,1874,0,508
"14",4,1859,1,533
"15",5,1875,2,560
"16",2,1826,0,505
"17",6,1842,3,516
"18",6,1784,2,527
"19",7,1886,3,559
"20",1,1823,0,524
"21",3,1829,0,508
"22",7,1854,1,504
"23",4,1833,1,517
"24",4,1855,2,544
"25",1,1895,1,557
"26",6,1850,0,511
"27",5,1840,0,568
"28",6,1887,2,549
"29",2,1857,1,518
"30",1,1821,0,529
"31",4,1802,0,483
"32",7,1893,3,554
"33",2,1829,0,522
"34",5,1878,4,550
"35",3,1885,1,543
"36",3,1855,0,530
"37",2,1936,1,531
"38",6,1846,2,544
"39",4,1841,1,537
"40",3,1800,2,518
"41",4,1857,1,496
"42",5,1868,1,545
"43",2,1884,1,543
"44",5,1894,1,530
"45",3,1857,1,533
"46",4,1882,0,550
"47",2,1807,1,493
"48",2,1844,0,557
"49",2,1873,1,550
"50",6,1899,2,552
"51",1,1886,0,570
"52",6,1870,3,537
"53",2,1860,0,538
"54",3,1830,1,539
"55",4,1828,0,540
"56",5,1865,0,490
"57",5,1856,3,535
"58",6,1876,0,550
"59",8,1881,1,524
"60",5,1846,2,555
"61",9,1860,1,545
"62",6,1818,1,530
"63",3,1865,1,539
"64",4,1837,1,512
"65",4,1868,0,515
"66",9,1776,1,542
"67",4,1850,1,578
"68",10,1830,3,518
"69",6,1863,0,570
"70",4,1805,0,492
"71",11,1801,5,504
"72",6,1828,2,576
"73",5,1905,1,529
"74",4,1870,0,483
"75",6,1856,1,546
"76",5,1870,1,590
"77",6,1920,1,539
"78",4,1839,0,520
"79",3,1833,1,540
"80",5,1826,0,575
"81",6,1847,3,513
"82",8,1824,2,505
"83",3,1819,1,528
"84",4,1848,2,510
"85",3,1894,0,560
"86",10,1879,2,568
"87",6,1785,1,532
"88",2,1914,1,534
"89",2,1817,2,524
"90",4,1827,1,474
"91",1,1866,0,509
"92",2,1865,1,528
"93",6,1804,2,519
"94",5,1851,1,521
"95",4,1860,1,515
"96",2,1860,1,546
"97",5,1859,0,525
"98",9,1888,4,555
"99",5,1850,1,532
"100",6,1872,4,510
