"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",42,485,12,194
"2",44,493,17,203
"3",44,501,15,195
"4",47,476,15,200
"5",58,504,26,192
"6",51,522,23,221
"7",51,521,18,226
"8",52,501,19,216
"9",40,495,18,189
"10",39,500,17,194
"11",50,481,16,200
"12",55,501,19,188
"13",40,499,17,200
"14",41,498,19,205
"15",32,521,14,196
"16",46,496,18,216
"17",49,507,24,192
"18",50,483,18,188
"19",36,491,16,189
"20",46,487,19,169
"21",45,496,25,178
"22",43,500,12,192
"23",44,464,18,160
"24",50,507,21,191
"25",48,508,23,202
"26",39,497,17,198
"27",42,487,11,209
"28",52,506,16,179
"29",49,499,25,211
"30",38,485,14,184
"31",49,502,19,194
"32",43,527,17,210
"33",45,482,20,202
"34",50,489,17,187
"35",41,501,14,190
"36",54,494,19,199
"37",46,492,10,203
"38",63,465,33,196
"39",52,504,23,203
"40",41,482,15,200
"41",41,469,16,187
"42",52,488,17,201
"43",51,527,17,183
"44",49,495,17,197
"45",37,501,17,200
"46",38,501,16,223
"47",46,480,15,192
"48",57,491,19,185
"49",40,516,14,207
"50",49,520,23,214
"51",55,489,20,188
"52",44,501,11,183
"53",52,495,28,204
"54",45,480,17,189
"55",50,486,24,195
"56",42,524,18,195
"57",48,483,22,201
"58",54,481,28,193
"59",34,513,11,200
"60",42,479,17,187
"61",51,491,24,207
"62",42,507,16,184
"63",41,490,20,193
"64",40,516,14,233
"65",32,516,10,202
"66",51,487,20,195
"67",35,502,13,189
"68",52,516,18,197
"69",51,485,19,188
"70",53,486,16,183
"71",43,487,15,198
"72",41,494,16,181
"73",42,479,14,186
"74",50,495,19,217
"75",56,499,23,211
"76",44,494,16,165
"77",45,507,21,209
"78",46,467,25,188
"79",57,486,24,201
"80",58,499,22,192
"81",56,513,19,179
"82",41,517,10,218
"83",38,512,11,228
"84",39,540,14,231
"85",51,514,24,203
"86",55,512,25,186
"87",50,497,21,194
"88",44,527,17,209
"89",45,498,16,198
"90",33,510,11,185
"91",42,518,16,190
"92",42,511,16,206
"93",35,486,17,190
"94",55,483,25,211
"95",48,507,20,200
"96",60,536,17,214
"97",44,491,11,222
"98",40,516,17,232
"99",52,519,23,202
"100",59,488,25,206
