"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",1,64,0,36
"2",0,71,0,34
"3",0,86,0,47
"4",0,70,0,45
"5",0,85,0,38
"6",0,77,0,35
"7",1,77,1,42
"8",0,71,0,31
"9",0,76,0,43
"10",1,76,1,39
"11",1,73,1,40
"12",1,76,0,38
"13",0,68,0,40
"14",0,71,0,33
"15",0,70,0,29
"16",1,81,1,41
"17",0,71,0,34
"18",1,69,0,33
"19",0,76,0,40
"20",0,78,0,43
"21",0,76,0,37
"22",0,73,0,46
"23",1,84,0,44
"24",0,68,0,30
"25",0,77,0,42
"26",2,78,1,39
"27",0,74,0,37
"28",0,78,0,40
"29",0,72,0,34
"30",0,75,0,37
"31",0,85,0,39
"32",0,64,0,27
"33",0,77,0,39
"34",0,82,0,52
"35",0,69,0,38
"36",0,75,0,38
"37",2,65,2,28
"38",0,75,0,44
"39",0,70,0,43
"40",1,74,0,47
"41",0,77,0,38
"42",0,69,0,29
"43",0,83,0,45
"44",0,81,0,48
"45",0,72,0,40
"46",0,79,0,45
"47",0,72,0,40
"48",0,77,0,42
"49",0,77,0,46
"50",0,71,0,37
"51",0,75,0,44
"52",0,78,0,40
"53",0,66,0,37
"54",1,74,0,30
"55",0,81,0,43
"56",0,87,0,42
"57",1,77,0,46
"58",1,73,1,39
"59",0,75,0,54
"60",0,71,0,43
"61",0,75,0,45
"62",0,70,0,35
"63",0,73,0,33
"64",1,75,1,36
"65",0,84,0,44
"66",0,71,0,40
"67",0,81,0,40
"68",0,71,0,38
"69",0,78,0,38
"70",2,76,2,37
"71",0,71,0,36
"72",0,79,0,46
"73",0,76,0,41
"74",0,67,0,34
"75",1,81,0,46
"76",0,81,0,31
"77",2,75,1,35
"78",0,78,0,49
"79",1,76,1,41
"80",1,67,0,38
"81",0,70,0,41
"82",0,74,0,44
"83",1,71,0,29
"84",0,70,0,32
"85",1,65,0,27
"86",0,75,0,42
"87",1,70,1,39
"88",1,69,0,41
"89",0,87,0,42
"90",0,73,0,37
"91",1,68,1,39
"92",0,73,0,33
"93",0,75,0,40
"94",0,81,0,35
"95",0,69,0,31
"96",0,75,0,35
"97",0,63,0,36
"98",0,81,0,48
"99",1,88,1,45
"100",0,62,0,35
