"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",2,1531,1,659
"2",6,1578,2,670
"3",6,1539,2,644
"4",7,1485,4,645
"5",9,1558,1,672
"6",7,1543,2,654
"7",5,1508,1,657
"8",3,1499,1,667
"9",1,1581,0,640
"10",11,1538,1,667
"11",8,1527,2,662
"12",8,1537,3,662
"13",3,1570,2,658
"14",4,1613,4,664
"15",6,1536,2,630
"16",8,1573,6,684
"17",5,1522,4,700
"18",5,1497,1,626
"19",4,1550,0,675
"20",6,1542,2,633
"21",7,1513,4,662
"22",4,1586,2,688
"23",5,1541,2,669
"24",7,1523,5,630
"25",11,1569,7,686
"26",7,1517,2,629
"27",4,1509,1,631
"28",9,1559,5,706
"29",5,1517,2,661
"30",6,1489,2,676
"31",1,1569,1,651
"32",5,1514,2,635
"33",11,1549,3,659
"34",4,1541,2,644
"35",5,1506,3,617
"36",10,1545,4,652
"37",7,1534,4,681
"38",4,1559,2,684
"39",5,1535,1,646
"40",7,1571,2,666
"41",5,1501,2,650
"42",2,1523,0,632
"43",3,1524,3,686
"44",6,1545,4,676
"45",3,1534,0,671
"46",10,1565,6,652
"47",8,1580,2,693
"48",5,1539,0,650
"49",1,1517,0,642
"50",8,1518,2,624
"51",3,1497,1,602
"52",4,1562,3,663
"53",3,1531,1,634
"54",6,1534,3,648
"55",8,1532,5,655
"56",7,1573,4,691
"57",10,1586,3,631
"58",5,1498,1,650
"59",5,1585,4,702
"60",3,1535,1,658
"61",7,1576,1,703
"62",3,1540,0,654
"63",8,1463,3,615
"64",6,1540,1,662
"65",6,1537,5,641
"66",8,1529,4,642
"67",12,1478,5,594
"68",4,1412,2,548
"69",4,1578,0,670
"70",5,1581,3,705
"71",5,1531,2,663
"72",9,1529,3,621
"73",4,1549,2,623
"74",4,1558,2,680
"75",7,1556,3,704
"76",2,1539,0,652
"77",4,1519,3,633
"78",9,1540,4,640
"79",8,1554,5,689
"80",6,1589,6,688
"81",3,1540,3,648
"82",7,1485,4,616
"83",6,1559,4,643
"84",7,1583,2,669
"85",8,1510,4,601
"86",7,1534,3,664
"87",6,1550,2,681
"88",2,1513,1,669
"89",12,1556,4,671
"90",6,1525,2,654
"91",10,1535,3,617
"92",8,1568,5,632
"93",6,1549,1,654
"94",6,1542,3,687
"95",3,1534,0,629
"96",5,1569,2,606
"97",6,1556,5,646
"98",2,1526,0,686
"99",7,1516,2,663
"100",4,1594,1,673
