"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",3,621,1,111
"2",1,626,0,138
"3",0,622,0,111
"4",0,629,0,126
"5",0,593,0,98
"6",2,608,0,105
"7",2,613,0,113
"8",1,589,1,102
"9",3,590,0,94
"10",0,599,0,104
"11",0,597,0,114
"12",0,547,0,108
"13",1,594,0,104
"14",1,585,1,83
"15",0,608,0,109
"16",2,612,2,120
"17",1,605,0,96
"18",0,594,0,122
"19",1,588,0,125
"20",0,590,0,102
"21",0,636,0,124
"22",2,588,1,113
"23",0,603,0,117
"24",0,610,0,118
"25",2,578,0,104
"26",1,590,0,83
"27",0,587,0,114
"28",1,607,0,102
"29",1,625,1,113
"30",2,556,0,102
"31",3,585,0,117
"32",0,575,0,97
"33",0,633,0,110
"34",1,603,0,111
"35",1,592,0,114
"36",1,597,0,93
"37",0,587,0,106
"38",2,565,0,90
"39",1,593,1,98
"40",1,619,0,118
"41",3,612,0,91
"42",1,617,0,119
"43",3,605,0,95
"44",0,606,0,111
"45",0,586,0,97
"46",1,573,0,125
"47",1,610,1,116
"48",3,638,1,114
"49",2,584,0,112
"50",1,592,0,111
"51",0,616,0,113
"52",0,610,0,105
"53",0,599,0,115
"54",2,587,1,109
"55",4,616,0,109
"56",4,606,2,126
"57",0,595,0,92
"58",0,592,0,80
"59",0,621,0,88
"60",0,594,0,104
"61",1,558,0,97
"62",1,608,0,87
"63",3,605,0,96
"64",1,607,0,116
"65",1,616,0,101
"66",0,586,0,86
"67",0,604,0,124
"68",0,628,0,116
"69",0,623,0,126
"70",2,594,0,120
"71",1,594,0,100
"72",0,586,0,123
"73",2,593,1,102
"74",1,603,0,108
"75",0,593,0,98
"76",1,605,0,96
"77",1,606,1,102
"78",1,598,0,85
"79",0,591,0,114
"80",5,583,1,106
"81",0,602,0,110
"82",0,601,0,104
"83",1,561,0,105
"84",1,623,0,119
"85",3,587,1,114
"86",0,607,0,111
"87",0,611,0,113
"88",0,577,0,118
"89",1,566,0,95
"90",2,576,0,94
"91",2,608,0,97
"92",2,577,0,108
"93",3,627,0,114
"94",3,600,0,101
"95",2,601,1,113
"96",2,584,1,100
"97",1,611,0,116
"98",1,602,0,106
"99",0,611,0,115
"100",2,606,0,95
