"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",34,688,18,330
"2",28,653,12,345
"3",29,674,12,348
"4",33,660,15,336
"5",31,672,15,332
"6",33,662,22,308
"7",33,692,13,330
"8",32,655,15,338
"9",35,697,19,355
"10",32,706,17,338
"11",30,652,14,317
"12",35,684,17,339
"13",25,714,15,375
"14",34,667,16,339
"15",26,683,14,336
"16",35,626,21,301
"17",30,663,12,326
"18",21,710,10,344
"19",29,680,20,320
"20",30,656,16,321
"21",36,663,15,321
"22",32,665,14,321
"23",25,695,12,333
"24",27,667,12,335
"25",39,622,22,300
"26",34,655,22,315
"27",29,654,13,325
"28",30,704,18,350
"29",30,634,18,308
"30",33,655,14,320
"31",36,662,18,334
"32",31,649,15,324
"33",26,685,18,367
"34",34,664,17,332
"35",37,671,15,322
"36",37,667,21,323
"37",34,662,14,323
"38",27,662,12,325
"39",44,659,17,327
"40",23,647,12,317
"41",27,662,13,319
"42",30,688,19,331
"43",22,658,11,305
"44",34,664,14,312
"45",21,692,8,311
"46",36,660,15,339
"47",29,673,12,338
"48",38,676,18,324
"49",26,651,10,306
"50",18,693,10,347
"51",34,657,20,336
"52",29,648,17,333
"53",32,660,15,301
"54",37,664,15,314
"55",41,650,26,331
"56",38,650,17,314
"57",33,685,12,360
"58",34,638,21,309
"59",25,677,11,323
"60",28,632,11,310
"61",33,711,16,353
"62",31,674,13,340
"63",33,667,19,324
"64",36,684,20,339
"65",21,668,11,332
"66",40,676,19,335
"67",33,667,11,345
"68",21,691,7,351
"69",34,666,16,326
"70",27,678,18,300
"71",36,660,23,329
"72",32,681,17,353
"73",21,655,12,307
"74",35,683,19,357
"75",22,691,12,337
"76",30,680,15,329
"77",17,686,9,318
"78",41,687,22,337
"79",32,680,14,327
"80",39,689,17,354
"81",22,697,12,318
"82",35,655,15,310
"83",30,671,17,336
"84",24,696,15,337
"85",36,662,17,313
"86",29,692,13,342
"87",34,706,21,362
"88",35,652,22,315
"89",39,667,20,318
"90",32,653,14,351
"91",27,690,13,322
"92",28,656,18,317
"93",30,671,14,315
"94",30,645,15,318
"95",37,642,19,316
"96",33,656,16,335
"97",30,679,10,353
"98",27,660,16,334
"99",33,667,18,319
"100",33,666,19,323
