"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",1,218,0,79
"2",1,219,0,95
"3",2,233,1,92
"4",1,222,1,102
"5",1,227,0,106
"6",1,222,1,98
"7",0,212,0,79
"8",3,216,1,86
"9",2,232,1,101
"10",3,226,2,104
"11",0,219,0,93
"12",1,233,0,79
"13",1,226,0,103
"14",0,225,0,88
"15",1,222,0,92
"16",1,219,0,98
"17",3,223,0,97
"18",2,222,1,97
"19",3,234,0,109
"20",1,232,1,95
"21",3,217,2,85
"22",1,216,1,95
"23",1,229,0,93
"24",2,212,1,79
"25",4,213,0,95
"26",2,220,0,85
"27",2,215,0,91
"28",3,240,1,111
"29",1,218,0,82
"30",1,248,0,116
"31",1,229,1,99
"32",0,216,0,89
"33",1,222,0,101
"34",1,234,1,101
"35",3,225,1,89
"36",1,220,1,97
"37",2,229,1,101
"38",0,231,0,109
"39",0,216,0,84
"40",2,227,2,96
"41",3,216,2,87
"42",1,213,0,94
"43",0,222,0,104
"44",1,214,0,77
"45",0,223,0,97
"46",1,235,1,108
"47",1,223,1,93
"48",0,211,0,92
"49",1,226,0,108
"50",1,225,0,85
"51",2,220,1,101
"52",0,223,0,91
"53",0,237,0,108
"54",2,218,1,83
"55",2,212,0,95
"56",2,226,1,111
"57",1,217,1,85
"58",2,221,1,94
"59",0,239,0,115
"60",2,210,1,99
"61",1,245,1,97
"62",0,222,0,92
"63",4,221,1,96
"64",1,227,0,95
"65",3,228,1,97
"66",2,250,1,100
"67",4,217,1,88
"68",0,233,0,104
"69",0,219,0,85
"70",1,212,0,77
"71",3,212,1,90
"72",1,219,1,86
"73",1,227,0,84
"74",0,227,0,105
"75",0,219,0,99
"76",3,221,0,96
"77",3,210,3,76
"78",2,237,1,95
"79",2,205,1,87
"80",1,224,1,95
"81",2,232,0,93
"82",3,237,1,115
"83",1,225,0,105
"84",2,229,0,104
"85",2,229,2,100
"86",0,224,0,94
"87",1,209,0,97
"88",1,244,1,107
"89",2,238,1,110
"90",5,236,1,96
"91",0,244,0,110
"92",4,241,1,87
"93",2,231,1,89
"94",3,216,1,95
"95",1,236,1,97
"96",3,228,1,100
"97",2,238,1,114
"98",1,222,0,105
"99",1,219,1,98
"100",1,198,0,73
