"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",4,3442,2,1484
"2",6,3481,2,1593
"3",6,3498,3,1534
"4",4,3532,3,1576
"5",11,3469,3,1574
"6",7,3416,6,1484
"7",5,3366,3,1493
"8",9,3489,2,1538
"9",6,3508,1,1506
"10",6,3451,3,1502
"11",5,3485,2,1582
"12",11,3421,6,1500
"13",6,3440,3,1523
"14",8,3446,3,1503
"15",6,3481,1,1565
"16",3,3429,1,1541
"17",6,3515,2,1591
"18",6,3528,2,1538
"19",5,3491,2,1542
"20",8,3371,4,1450
"21",4,3502,3,1599
"22",5,3462,1,1486
"23",5,3500,2,1590
"24",5,3570,3,1480
"25",8,3479,4,1515
"26",4,3553,1,1526
"27",4,3488,0,1552
"28",6,3543,3,1579
"29",3,3472,1,1533
"30",5,3513,1,1546
"31",3,3468,1,1569
"32",5,3453,3,1447
"33",8,3492,4,1522
"34",4,3435,3,1490
"35",6,3479,1,1541
"36",2,3508,0,1603
"37",8,3379,4,1472
"38",8,3446,4,1495
"39",5,3460,0,1564
"40",10,3498,5,1539
"41",5,3493,1,1510
"42",4,3457,1,1511
"43",2,3498,0,1561
"44",8,3467,6,1500
"45",9,3505,5,1517
"46",13,3505,7,1503
"47",7,3558,4,1634
"48",4,3509,1,1607
"49",10,3537,6,1593
"50",7,3431,4,1495
"51",4,3465,2,1487
"52",7,3532,5,1581
"53",10,3460,3,1512
"54",8,3444,3,1474
"55",3,3434,2,1521
"56",4,3445,3,1496
"57",4,3451,2,1537
"58",5,3493,4,1508
"59",5,3488,3,1492
"60",7,3446,5,1553
"61",6,3550,2,1565
"62",7,3482,5,1619
"63",4,3364,2,1452
"64",9,3467,1,1536
"65",7,3468,7,1549
"66",7,3459,0,1543
"67",5,3521,0,1585
"68",4,3469,1,1533
"69",5,3521,2,1536
"70",4,3467,3,1500
"71",4,3531,1,1515
"72",4,3486,3,1536
"73",4,3516,1,1572
"74",2,3420,1,1486
"75",5,3458,3,1552
"76",10,3470,6,1525
"77",4,3517,0,1508
"78",8,3419,3,1510
"79",7,3445,2,1535
"80",7,3421,3,1498
"81",3,3508,1,1568
"82",9,3444,3,1442
"83",5,3460,2,1503
"84",6,3510,1,1539
"85",8,3466,3,1535
"86",5,3434,3,1529
"87",7,3494,4,1559
"88",7,3540,3,1573
"89",6,3487,2,1494
"90",12,3508,6,1498
"91",10,3489,3,1487
"92",4,3529,3,1541
"93",6,3435,2,1520
"94",8,3483,6,1559
"95",4,3469,1,1543
"96",7,3432,3,1491
"97",3,3516,3,1531
"98",7,3523,2,1545
"99",5,3452,1,1504
"100",5,3480,2,1527
