"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",0,170,0,91
"2",1,169,0,82
"3",1,172,1,85
"4",0,175,0,97
"5",0,193,0,97
"6",0,146,0,88
"7",1,180,0,78
"8",1,162,1,85
"9",2,162,1,96
"10",0,173,0,89
"11",0,182,0,94
"12",0,153,0,74
"13",0,173,0,90
"14",1,168,1,83
"15",0,160,0,96
"16",0,161,0,93
"17",0,165,0,82
"18",0,166,0,84
"19",0,162,0,87
"20",2,174,1,84
"21",2,165,1,86
"22",0,164,0,82
"23",3,169,3,89
"24",1,152,1,79
"25",1,160,1,76
"26",0,169,0,81
"27",0,163,0,86
"28",0,160,0,84
"29",1,155,1,81
"30",1,174,1,89
"31",1,168,0,90
"32",0,163,0,80
"33",0,168,0,89
"34",0,160,0,92
"35",1,169,1,89
"36",0,161,0,84
"37",0,177,0,98
"38",2,178,1,96
"39",0,150,0,76
"40",1,169,1,94
"41",1,168,0,79
"42",0,165,0,86
"43",0,175,0,89
"44",2,169,2,85
"45",0,174,0,88
"46",1,163,0,93
"47",0,164,0,92
"48",1,154,0,83
"49",0,176,0,92
"50",0,184,0,108
"51",1,178,0,98
"52",0,160,0,82
"53",0,183,0,106
"54",1,186,0,90
"55",0,163,0,88
"56",0,156,0,81
"57",1,164,1,86
"58",0,173,0,95
"59",0,176,0,98
"60",0,153,0,83
"61",0,159,0,84
"62",1,163,1,91
"63",0,157,0,73
"64",0,178,0,86
"65",1,163,0,95
"66",1,165,0,91
"67",0,178,0,109
"68",2,180,1,89
"69",1,161,1,80
"70",0,164,0,80
"71",0,170,0,90
"72",2,179,1,89
"73",0,173,0,90
"74",0,184,0,89
"75",0,173,0,95
"76",1,163,0,85
"77",0,175,0,97
"78",0,170,0,91
"79",0,161,0,83
"80",1,169,0,86
"81",0,162,0,79
"82",0,177,0,83
"83",0,154,0,61
"84",0,157,0,78
"85",0,169,0,87
"86",0,171,0,86
"87",1,171,1,94
"88",1,171,0,91
"89",0,163,0,88
"90",0,180,0,89
"91",0,166,0,100
"92",1,201,0,91
"93",0,178,0,82
"94",0,161,0,89
"95",0,175,0,98
"96",0,182,0,98
"97",0,165,0,89
"98",1,160,0,81
"99",0,172,0,84
"100",0,163,0,85
