"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",83,704,40,280
"2",59,705,18,280
"3",85,666,24,249
"4",89,707,32,293
"5",81,716,35,286
"6",73,732,35,323
"7",87,679,43,264
"8",76,718,31,275
"9",81,701,33,278
"10",74,723,34,276
"11",75,729,33,287
"12",79,712,34,306
"13",71,725,26,289
"14",71,713,24,268
"15",83,728,39,287
"16",78,695,33,261
"17",86,706,41,285
"18",73,698,31,276
"19",72,703,27,252
"20",78,708,30,292
"21",74,675,32,268
"22",93,713,33,258
"23",76,698,26,275
"24",67,724,27,276
"25",85,694,27,276
"26",76,700,34,289
"27",64,726,26,315
"28",76,731,29,296
"29",78,710,32,291
"30",90,706,42,280
"31",89,712,41,267
"32",70,704,31,262
"33",51,725,23,279
"34",91,672,29,273
"35",63,707,26,297
"36",64,769,27,305
"37",88,714,28,285
"38",65,696,30,298
"39",65,714,32,303
"40",76,682,30,261
"41",58,701,16,282
"42",72,707,28,277
"43",63,725,27,282
"44",76,699,27,264
"45",91,720,37,273
"46",71,698,27,287
"47",73,698,23,280
"48",79,686,33,271
"49",78,727,36,299
"50",80,693,31,255
"51",79,708,27,264
"52",78,733,29,307
"53",79,683,33,272
"54",57,723,21,296
"55",84,718,28,312
"56",73,710,26,259
"57",74,708,26,275
"58",60,742,21,309
"59",70,707,27,289
"60",82,717,30,285
"61",74,731,35,293
"62",80,715,38,268
"63",88,720,36,290
"64",83,680,32,301
"65",91,685,41,247
"66",70,703,25,276
"67",67,710,24,271
"68",92,678,31,279
"69",67,717,19,273
"70",73,730,35,282
"71",88,714,36,284
"72",71,687,32,275
"73",66,709,29,278
"74",57,727,26,291
"75",74,692,29,276
"76",93,687,34,271
"77",75,665,27,257
"78",58,703,23,255
"79",87,679,28,246
"80",76,710,25,268
"81",71,728,28,270
"82",76,720,33,282
"83",78,714,31,262
"84",72,688,25,272
"85",74,725,26,268
"86",78,645,34,224
"87",74,703,26,268
"88",63,703,34,290
"89",89,737,35,286
"90",78,689,35,276
"91",73,674,19,272
"92",78,699,40,303
"93",78,700,31,271
"94",87,699,32,289
"95",75,709,32,289
"96",73,728,25,288
"97",67,720,27,283
"98",95,678,32,284
"99",66,719,23,294
"100",90,696,38,258
