"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",42,444,18,190
"2",40,440,18,174
"3",42,478,20,197
"4",35,477,11,183
"5",35,474,16,186
"6",35,439,12,172
"7",32,465,13,198
"8",42,490,18,198
"9",41,467,18,195
"10",36,439,21,183
"11",48,460,20,187
"12",37,449,12,174
"13",42,456,19,159
"14",47,449,19,197
"15",35,472,10,213
"16",36,448,13,187
"17",45,450,24,185
"18",26,456,8,164
"19",42,467,13,184
"20",42,456,21,190
"21",47,468,22,193
"22",48,469,15,200
"23",44,464,19,204
"24",36,468,15,195
"25",41,454,19,177
"26",49,436,15,183
"27",43,458,20,182
"28",33,475,13,194
"29",51,488,20,216
"30",38,465,13,210
"31",39,446,18,185
"32",44,470,16,201
"33",41,446,11,177
"34",37,454,12,180
"35",41,456,19,177
"36",49,421,17,170
"37",38,434,12,180
"38",30,465,13,194
"39",34,503,12,210
"40",55,428,27,172
"41",42,450,15,173
"42",42,457,22,173
"43",36,446,13,185
"44",38,467,13,191
"45",30,469,18,181
"46",34,485,6,203
"47",34,458,16,175
"48",39,505,15,202
"49",50,461,19,182
"50",33,456,14,192
"51",30,463,15,178
"52",35,448,15,178
"53",51,462,21,188
"54",36,463,14,189
"55",41,435,16,165
"56",44,435,13,188
"57",36,465,10,180
"58",36,451,12,186
"59",37,453,12,172
"60",45,457,19,173
"61",35,463,16,204
"62",34,470,13,210
"63",57,413,20,162
"64",44,470,18,187
"65",36,455,15,203
"66",37,440,13,164
"67",40,463,12,198
"68",34,490,14,203
"69",37,446,16,180
"70",40,481,16,191
"71",42,454,12,196
"72",47,454,22,181
"73",34,470,14,216
"74",49,476,19,190
"75",29,452,14,178
"76",36,495,18,220
"77",42,474,13,210
"78",42,456,22,179
"79",47,454,23,177
"80",35,458,13,198
"81",34,447,12,180
"82",43,459,13,182
"83",35,435,19,190
"84",26,475,10,184
"85",48,457,14,185
"86",35,477,8,187
"87",44,464,17,194
"88",38,455,15,185
"89",43,478,15,203
"90",49,458,19,190
"91",47,488,17,193
"92",53,474,19,197
"93",51,474,19,184
"94",46,481,15,181
"95",44,455,17,190
"96",42,451,17,183
"97",26,462,7,178
"98",33,484,12,218
"99",38,450,16,173
"100",40,453,16,171
