"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",2,548,1,238
"2",0,574,0,268
"3",0,570,0,257
"4",2,550,2,238
"5",5,597,3,237
"6",1,575,0,263
"7",4,552,0,223
"8",0,590,0,228
"9",4,591,3,226
"10",1,584,0,265
"11",2,563,1,245
"12",2,581,1,245
"13",1,599,1,260
"14",4,558,1,238
"15",2,573,2,254
"16",0,563,0,232
"17",2,573,0,247
"18",0,566,0,252
"19",1,567,1,253
"20",3,570,0,256
"21",0,564,0,250
"22",1,562,0,230
"23",4,549,1,220
"24",0,589,0,226
"25",2,580,2,261
"26",1,592,0,240
"27",0,562,0,224
"28",4,566,0,239
"29",0,577,0,237
"30",1,592,1,263
"31",2,582,0,243
"32",3,568,1,238
"33",0,570,0,232
"34",3,586,1,245
"35",2,580,1,221
"36",1,580,1,254
"37",2,568,0,236
"38",0,578,0,232
"39",4,551,0,241
"40",3,587,0,235
"41",1,600,1,258
"42",4,562,1,238
"43",0,545,0,241
"44",3,573,3,232
"45",2,571,1,247
"46",4,613,2,248
"47",2,550,1,241
"48",2,599,1,255
"49",1,545,0,222
"50",1,581,0,253
"51",3,577,2,243
"52",2,577,0,239
"53",2,571,0,231
"54",0,590,0,217
"55",3,574,3,242
"56",0,570,0,245
"57",1,576,0,232
"58",1,573,0,231
"59",2,566,1,263
"60",2,567,0,252
"61",4,567,2,229
"62",1,592,1,269
"63",0,540,0,222
"64",1,578,1,236
"65",0,585,0,223
"66",2,613,1,246
"67",1,567,1,239
"68",1,575,0,262
"69",2,580,1,244
"70",1,563,0,257
"71",0,586,0,242
"72",0,558,0,242
"73",1,561,1,239
"74",0,563,0,249
"75",0,583,0,224
"76",3,589,1,257
"77",0,587,0,225
"78",2,559,2,217
"79",4,552,3,238
"80",0,599,0,270
"81",1,611,1,237
"82",0,580,0,253
"83",0,608,0,280
"84",2,581,1,213
"85",1,586,0,225
"86",3,577,0,230
"87",2,595,0,252
"88",4,568,2,250
"89",1,581,0,247
"90",4,579,2,227
"91",2,585,1,243
"92",4,568,2,218
"93",3,552,0,233
"94",1,573,0,241
"95",1,563,0,245
"96",4,575,3,232
"97",2,576,2,225
"98",1,574,0,242
"99",2,592,0,227
"100",1,559,1,260
