"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",30,929,7,253
"2",44,934,13,257
"3",40,942,13,287
"4",37,911,14,264
"5",33,921,10,282
"6",39,925,12,270
"7",23,954,6,256
"8",37,955,11,255
"9",42,957,13,263
"10",31,919,8,254
"11",34,925,7,245
"12",32,926,9,262
"13",46,941,11,285
"14",32,939,11,266
"15",33,941,8,277
"16",44,914,14,252
"17",46,908,14,256
"18",37,922,10,262
"19",42,932,12,253
"20",43,913,16,238
"21",34,936,11,246
"22",37,935,10,256
"23",39,929,11,272
"24",40,944,8,260
"25",35,986,11,286
"26",38,950,11,279
"27",37,938,14,258
"28",36,961,6,303
"29",42,942,16,264
"30",37,927,8,267
"31",42,929,4,265
"32",34,961,8,270
"33",30,944,11,260
"34",31,931,5,283
"35",44,948,12,265
"36",41,924,16,291
"37",40,975,11,266
"38",28,900,7,256
"39",47,930,14,247
"40",46,943,14,278
"41",36,948,18,276
"42",22,933,6,223
"43",33,961,10,291
"44",42,952,13,273
"45",38,906,10,239
"46",29,969,6,259
"47",39,951,13,284
"48",55,934,15,257
"49",30,910,8,244
"50",46,943,14,258
"51",39,897,6,252
"52",35,923,2,255
"53",37,933,7,267
"54",33,962,6,250
"55",41,942,10,265
"56",37,957,15,269
"57",44,924,15,275
"58",33,921,7,253
"59",42,914,16,235
"60",41,971,9,280
"61",36,926,13,274
"62",54,931,18,262
"63",40,917,15,270
"64",33,949,8,292
"65",42,932,7,289
"66",39,914,9,290
"67",41,930,7,263
"68",43,941,10,278
"69",42,909,13,255
"70",45,953,16,290
"71",39,945,15,262
"72",36,906,10,259
"73",32,878,9,249
"74",43,923,12,257
"75",42,910,11,253
"76",32,925,9,240
"77",37,920,10,240
"78",31,942,11,262
"79",36,942,11,259
"80",37,930,9,279
"81",24,927,5,260
"82",46,939,12,275
"83",39,941,7,258
"84",45,976,14,252
"85",39,918,9,262
"86",38,937,14,252
"87",36,929,11,244
"88",42,918,10,258
"89",40,940,12,256
"90",37,927,14,264
"91",23,960,5,275
"92",29,926,9,267
"93",36,954,9,279
"94",43,935,12,281
"95",40,927,13,247
"96",46,935,7,275
"97",40,908,8,274
"98",33,931,9,274
"99",41,918,13,245
"100",38,929,8,266
