"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",49,2867,15,889
"2",46,2863,18,854
"3",43,2915,10,872
"4",45,2883,18,866
"5",38,2832,11,861
"6",42,2737,11,827
"7",49,2853,15,843
"8",28,2866,4,824
"9",44,2847,13,853
"10",26,2913,8,867
"11",27,2858,10,865
"12",46,2806,13,799
"13",39,2847,11,868
"14",27,2872,9,914
"15",40,2759,13,802
"16",43,2861,13,835
"17",32,2869,11,869
"18",41,2856,14,894
"19",41,2905,15,844
"20",37,2971,11,868
"21",24,2903,7,866
"22",38,2801,20,872
"23",29,2818,6,816
"24",35,2852,11,890
"25",40,2854,13,869
"26",32,2910,9,841
"27",39,2894,15,861
"28",49,2888,18,824
"29",40,2879,15,909
"30",38,2882,12,831
"31",32,2856,9,850
"32",35,2917,7,834
"33",38,2849,11,897
"34",38,2816,15,826
"35",39,2883,11,879
"36",34,2828,9,895
"37",40,2866,10,824
"38",24,2839,5,869
"39",27,2886,8,895
"40",46,2870,16,823
"41",29,2859,8,816
"42",31,2927,8,880
"43",36,2926,10,849
"44",36,2811,15,863
"45",47,2812,13,785
"46",33,2917,5,845
"47",34,2840,9,861
"48",50,2838,18,868
"49",33,2871,10,850
"50",31,2821,5,854
"51",50,2956,17,897
"52",35,2923,8,851
"53",37,2823,8,847
"54",38,2822,4,847
"55",37,2886,12,903
"56",44,2888,10,889
"57",29,2849,12,819
"58",38,2828,13,856
"59",36,2872,13,863
"60",44,2807,17,826
"61",44,2861,16,864
"62",43,2876,14,856
"63",36,2863,12,828
"64",48,2826,12,863
"65",52,2905,14,856
"66",43,2813,14,851
"67",39,2793,11,808
"68",39,2827,11,867
"69",35,2857,8,907
"70",33,2944,12,896
"71",34,2802,12,868
"72",31,2891,10,878
"73",44,2845,12,804
"74",41,2902,11,861
"75",28,2883,11,842
"76",43,2820,16,860
"77",42,2868,13,867
"78",37,2783,11,836
"79",35,2849,18,845
"80",38,2786,9,859
"81",53,2872,18,835
"82",40,2861,11,832
"83",36,2901,8,870
"84",32,2939,7,862
"85",42,2895,15,802
"86",45,2835,10,852
"87",42,2854,14,791
"88",43,2887,13,810
"89",41,2943,10,926
"90",41,2920,12,880
"91",33,2897,6,894
"92",46,2820,15,818
"93",39,2879,13,869
"94",46,2894,15,832
"95",38,2828,14,844
"96",35,2782,12,855
"97",32,2780,8,851
"98",49,2836,17,880
"99",44,2868,11,835
"100",48,2826,14,836
