"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",4,1149,1,421
"2",6,1111,1,359
"3",4,1106,2,365
"4",2,1134,1,355
"5",3,1115,1,374
"6",2,1143,1,379
"7",3,1129,1,363
"8",0,1133,0,352
"9",4,1073,0,359
"10",2,1102,2,348
"11",6,1091,0,373
"12",1,1113,1,357
"13",4,1117,1,389
"14",2,1123,1,356
"15",3,1121,1,400
"16",2,1148,1,389
"17",1,1111,0,373
"18",3,1100,0,350
"19",2,1096,0,339
"20",3,1136,2,367
"21",4,1143,1,333
"22",5,1102,1,370
"23",1,1130,1,385
"24",2,1129,1,375
"25",6,1116,2,370
"26",4,1149,0,385
"27",3,1126,1,370
"28",1,1168,0,424
"29",4,1130,2,350
"30",2,1140,0,368
"31",7,1135,0,416
"32",4,1058,2,348
"33",1,1147,1,380
"34",1,1111,0,355
"35",1,1161,0,383
"36",1,1127,0,377
"37",2,1120,0,330
"38",2,1126,1,343
"39",7,1109,3,358
"40",2,1130,1,390
"41",2,1138,1,369
"42",3,1121,1,357
"43",2,1130,0,353
"44",2,1092,0,360
"45",4,1138,1,384
"46",3,1167,0,347
"47",1,1194,1,430
"48",1,1109,0,358
"49",1,1098,1,376
"50",0,1124,0,344
"51",3,1114,1,368
"52",4,1090,2,349
"53",2,1136,1,379
"54",1,1127,0,374
"55",5,1116,2,365
"56",1,1171,1,415
"57",1,1133,1,373
"58",5,1135,3,400
"59",4,1116,2,372
"60",2,1089,0,356
"61",5,1108,2,368
"62",1,1163,0,393
"63",1,1102,0,347
"64",6,1127,4,359
"65",3,1115,2,380
"66",3,1120,0,366
"67",1,1171,0,382
"68",8,1069,1,324
"69",4,1149,2,357
"70",2,1137,0,408
"71",3,1147,1,379
"72",1,1130,0,380
"73",2,1152,1,381
"74",1,1143,1,375
"75",5,1132,3,363
"76",1,1133,1,362
"77",3,1117,2,387
"78",5,1112,2,351
"79",0,1130,0,360
"80",3,1165,1,396
"81",4,1144,2,348
"82",3,1105,1,327
"83",4,1128,0,382
"84",3,1107,0,365
"85",7,1125,1,378
"86",1,1168,1,356
"87",4,1119,0,331
"88",3,1161,1,426
"89",3,1153,2,385
"90",4,1141,1,339
"91",1,1097,0,366
"92",3,1126,2,365
"93",2,1114,1,393
"94",1,1136,0,377
"95",1,1121,1,356
"96",8,1151,1,363
"97",3,1159,1,365
"98",0,1112,0,378
"99",5,1110,1,365
"100",5,1116,1,368
