"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",0,1108,0,627
"2",7,1117,5,583
"3",1,1116,0,601
"4",5,1059,4,562
"5",3,1108,2,597
"6",3,1077,2,577
"7",1,1133,0,618
"8",3,1118,1,634
"9",1,1109,1,604
"10",1,1090,0,637
"11",5,1138,4,641
"12",1,1106,1,592
"13",5,1111,4,556
"14",2,1120,0,598
"15",4,1124,2,623
"16",1,1153,1,644
"17",2,1099,1,550
"18",1,1078,0,590
"19",1,1115,1,592
"20",1,1130,1,614
"21",4,1129,3,640
"22",1,1087,1,604
"23",0,1109,0,615
"24",1,1089,0,589
"25",3,1101,2,575
"26",0,1105,0,609
"27",2,1094,2,591
"28",3,1077,3,595
"29",1,1106,1,583
"30",0,1104,0,588
"31",4,1095,3,583
"32",0,1120,0,608
"33",5,1104,3,611
"34",2,1054,2,583
"35",2,1099,1,597
"36",1,1127,1,609
"37",1,1125,1,621
"38",4,1078,1,590
"39",2,1121,1,604
"40",3,1122,1,657
"41",8,1120,7,614
"42",1,1116,1,614
"43",1,1102,0,588
"44",0,1100,0,592
"45",2,1101,1,586
"46",4,1093,3,588
"47",0,1132,0,600
"48",3,1101,1,590
"49",1,1120,0,603
"50",1,1090,0,597
"51",3,1087,0,580
"52",6,1142,2,622
"53",3,1090,1,580
"54",6,1099,3,595
"55",7,1125,4,622
"56",2,1150,1,633
"57",1,1129,1,631
"58",2,1077,1,587
"59",2,1120,1,649
"60",6,1088,3,577
"61",2,1082,0,587
"62",1,1120,0,633
"63",0,1122,0,588
"64",2,1054,0,556
"65",2,1135,1,656
"66",2,1118,1,605
"67",6,1126,4,570
"68",4,1127,3,591
"69",1,1122,1,621
"70",1,1131,0,614
"71",3,1105,1,610
"72",3,1109,1,617
"73",1,1095,0,575
"74",1,1081,1,582
"75",0,1085,0,614
"76",1,1149,0,643
"77",2,1101,1,616
"78",3,1110,1,613
"79",3,1103,3,588
"80",2,1136,0,623
"81",0,1119,0,641
"82",4,1103,2,576
"83",2,1094,0,597
"84",1,1147,0,643
"85",2,1143,1,653
"86",3,1103,2,592
"87",1,1133,1,599
"88",4,1119,1,606
"89",1,1086,1,594
"90",4,1104,3,606
"91",3,1086,1,553
"92",2,1111,1,620
"93",1,1110,1,616
"94",0,1128,0,594
"95",0,1118,0,603
"96",3,1103,2,629
"97",1,1078,1,611
"98",1,1126,1,640
"99",4,1077,2,596
"100",2,1072,0,593
