"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",34,1486,17,671
"2",46,1485,18,626
"3",35,1463,16,617
"4",36,1461,19,618
"5",41,1449,16,637
"6",50,1495,21,640
"7",41,1436,21,595
"8",32,1405,15,598
"9",36,1431,17,606
"10",36,1429,17,607
"11",28,1440,7,642
"12",29,1447,10,630
"13",35,1449,13,626
"14",31,1455,15,620
"15",36,1488,13,635
"16",40,1469,9,640
"17",37,1461,16,632
"18",32,1442,16,583
"19",37,1437,16,609
"20",45,1423,20,641
"21",36,1437,16,603
"22",40,1434,21,649
"23",39,1479,15,641
"24",38,1487,12,651
"25",27,1421,11,611
"26",40,1472,20,693
"27",36,1467,12,633
"28",39,1467,16,606
"29",29,1430,8,616
"30",57,1430,24,598
"31",32,1457,13,613
"32",35,1458,17,609
"33",47,1497,16,642
"34",31,1449,16,621
"35",37,1464,18,635
"36",30,1453,14,599
"37",37,1449,15,616
"38",28,1480,11,609
"39",31,1486,14,603
"40",35,1449,19,639
"41",37,1369,12,592
"42",43,1469,22,655
"43",35,1468,15,640
"44",43,1431,23,597
"45",32,1468,15,645
"46",29,1429,9,594
"47",40,1461,10,616
"48",30,1513,10,628
"49",40,1451,17,659
"50",28,1485,13,652
"51",32,1461,11,640
"52",37,1460,16,642
"53",36,1474,19,634
"54",31,1515,12,659
"55",33,1499,17,622
"56",39,1482,16,588
"57",37,1430,9,604
"58",44,1424,19,595
"59",48,1466,24,649
"60",32,1426,10,597
"61",29,1498,11,604
"62",41,1439,18,610
"63",28,1471,17,587
"64",36,1457,17,623
"65",37,1426,9,591
"66",37,1449,12,626
"67",49,1435,16,645
"68",29,1455,9,593
"69",52,1439,24,593
"70",43,1426,16,582
"71",36,1445,17,611
"72",45,1490,20,639
"73",32,1485,11,611
"74",37,1479,11,625
"75",39,1493,13,643
"76",28,1457,13,644
"77",29,1479,14,684
"78",33,1486,14,636
"79",37,1445,14,592
"80",34,1451,12,600
"81",37,1437,16,616
"82",37,1493,17,627
"83",34,1473,9,646
"84",27,1472,11,633
"85",30,1447,17,641
"86",40,1422,16,587
"87",33,1445,13,629
"88",37,1487,13,652
"89",34,1468,13,610
"90",36,1471,12,623
"91",41,1462,17,645
"92",46,1491,17,668
"93",38,1464,16,621
"94",40,1436,16,612
"95",32,1460,13,613
"96",40,1462,15,624
"97",41,1414,16,634
"98",37,1464,15,621
"99",29,1460,13,612
"100",37,1458,15,633
