"","clonal_count","subclonal_count","binding_clonal","binding_subclonal"
"1",2,313,1,135
"2",5,308,2,109
"3",5,300,3,116
"4",6,299,2,95
"5",2,321,1,114
"6",8,305,2,112
"7",3,309,1,110
"8",6,304,1,135
"9",6,342,2,127
"10",2,312,1,116
"11",4,291,4,108
"12",5,314,1,136
"13",9,295,4,125
"14",6,330,2,111
"15",7,315,3,109
"16",5,299,2,125
"17",8,334,3,125
"18",4,300,3,117
"19",11,312,3,124
"20",6,309,3,128
"21",5,321,1,122
"22",6,314,1,131
"23",7,287,5,110
"24",9,298,4,106
"25",3,296,2,121
"26",5,313,2,111
"27",5,315,3,125
"28",10,307,3,121
"29",3,287,0,115
"30",5,320,3,126
"31",4,306,1,111
"32",9,297,1,124
"33",3,301,1,109
"34",3,321,0,130
"35",6,301,3,108
"36",3,316,1,132
"37",6,301,1,112
"38",4,327,2,135
"39",3,317,1,115
"40",7,313,3,132
"41",5,301,1,121
"42",4,312,1,119
"43",3,308,2,132
"44",4,291,1,115
"45",9,306,5,119
"46",2,316,1,140
"47",6,309,1,124
"48",3,318,2,120
"49",5,301,1,114
"50",7,317,1,135
"51",6,316,3,111
"52",5,309,3,121
"53",8,292,6,117
"54",8,303,2,123
"55",3,325,1,131
"56",5,296,2,112
"57",7,314,1,130
"58",5,282,1,110
"59",8,318,1,132
"60",6,325,2,117
"61",5,310,2,118
"62",7,306,3,144
"63",10,304,7,113
"64",4,311,1,123
"65",6,309,3,129
"66",10,300,1,111
"67",4,311,4,115
"68",5,301,4,94
"69",6,307,1,110
"70",6,304,1,114
"71",7,300,2,119
"72",3,313,1,119
"73",4,327,1,135
"74",3,318,1,118
"75",3,333,0,139
"76",9,300,3,110
"77",3,313,0,123
"78",2,303,0,120
"79",6,328,1,136
"80",4,288,0,106
"81",6,328,4,121
"82",4,280,1,107
"83",4,291,2,111
"84",9,325,7,148
"85",6,310,3,129
"86",3,287,2,125
"87",2,307,0,125
"88",3,311,0,108
"89",5,304,1,111
"90",6,303,0,116
"91",9,325,5,139
"92",7,321,3,116
"93",2,303,1,119
"94",7,319,1,109
"95",8,300,3,117
"96",4,320,2,116
"97",7,303,4,111
"98",4,323,3,134
"99",7,313,5,119
"100",7,310,4,105
